file,key,text
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01.json,complete.description.text,"Great! Now my crops will grow faster than the other farmers'! Haha! Well thank you kind sir, here's an emerald."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01b.json,start.title.text,Advice
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\quest_0005_01b.json,start.description.text,My precious crops haven't been growing well these days... Do you think you can help me get $(red)8 bones$() so I can some fertilizers?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0005\root.json,start.description.text,Greetings m'lord! Could you help me with something?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\quest_0006_01.json,start.title.text,Unlock Fishing Rod
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\quest_0006_01.json,start.description.text,Ready to learn about fishing? Get me 15 emeralds!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\quest_0006_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\quest_0006_01.json,complete.description.text,"Not that hard now is it? Don't swing around too much though, scares away the fish."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0006\root.json,start.description.text,"You want to learn about fishing? It takes patience, perseverance, and most importantly, a good teacher! I can teach you how to fish for 15 emeralds, what do you say?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\quest_0007_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\quest_0007_01.json,start.description.text,"10 Emeralds for learning how to use the fletching table, pretty cheap right?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\quest_0007_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\quest_0007_01.json,complete.description.text,Here you go. Have fun making arrows!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0007\root.json,start.description.text,I'm teaching people how to use the fletching table for a mere 10 emerald. What do you say?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01.json,start.description.text,Huh? Oh you forgot. I was asking for $(red)4 Lion Hide$().
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01.json,complete.description.text,"Thanks. Here, happy doing business with you."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01b.json,start.title.text,help
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\quest_0008_01b.json,start.description.text,"I've heard good things about your work. I need you to collect some exotic goods, specifically: $(red)lion hide$(). I need 4 of those. Come back when you've got the goods."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0008\root.json,start.description.text,"Need your help collecting something, adventurer."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01.json,start.title.text,Fetching Request
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01.json,start.description.text,Please come back when you've gathered $(red)4 ink sacs$().
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01.json,complete.description.text,"Many thanks. Unfortunately I found that our paper supply is also running low... Do you think you can help us get 10 pieces of paper for now> We'll restock soon, but we would really appreciate your help."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01b.json,start.title.text,Fetching Request
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_01b.json,start.description.text,Could you help me retrieve 4 squid ink sacs?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_02.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_02.json,start.description.text,Did you get the chance to gather the $(red)10 pieces of paper$()?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_02.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\quest_0009_02.json,complete.description.text,Thanks. I don't have emeralds to pay you at the moment... How's this for payment?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0009\root.json,start.description.text,"Greetings. I'd hate to bother you, but could you give me a hand with something?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\quest_0010_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\quest_0010_01.json,start.description.text,What do you say? 10 Emeralds to learn how to use the stonecutter.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\quest_0010_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\quest_0010_01.json,complete.description.text,There you go!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0010\root.json,start.description.text,Wanna learn how to use the stonecutter? It'll be only 10 emeralds!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\quest_0011_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\quest_0011_01.json,start.description.text,Give me 10 emeralds and I'll teach you how to use the loom!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\quest_0011_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\quest_0011_01.json,complete.description.text,There you go!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0011\root.json,start.description.text,Do you want to learn how to use the loom? I can teach you for 10 emeralds.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\quest_0012_01.json,start.title.text,Bucket of Milk!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\quest_0012_01.json,start.description.text,Please hurry up. I'm yearning for a $(red)bucket of milk$()!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\quest_0012_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\quest_0012_01.json,complete.description.text,Yum! Thanks a lot friend.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0012\root.json,start.description.text,Hey there! Could you fetch me a bucket of milk? I'm yearning for a taste.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\quest_0013_01.json,start.title.text,So?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\quest_0013_01.json,start.description.text,Give me 10 emeralds and I'll teach you how to use the grindstone! Cheap right?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\quest_0013_01.json,complete.title.text,Thanks!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\quest_0013_01.json,complete.description.text,There you go! Easy right?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0013\root.json,start.description.text,Do you want me to teach you how to use the grindstone? It'll cost 10 emeralds.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\defeated_bosses.json,start.title.text,Already Done!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\defeated_bosses.json,start.description.text,"Oh? You've already defeated the eye holder before I gave you the map? Huh... Show me the exact eye the eye holder dropped then. As a matter of fact, drop it and pick it back up... Don't ask why!"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\defeated_bosses.json,complete.title.text,The End of the Road
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\defeated_bosses.json,complete.description.text,I have no more information to give you my friend. Follow your calling.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01.json,start.title.text,First Assignment
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01.json,start.description.text,Come back after you've fulfilled the requirements - $(red)Kill 10 pillagers$().
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01.json,complete.title.text,First Assignment
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01.json,complete.description.text,"Here, use these to get your first upgrade from the $(green)goddess statues$()! I would recommend talking to some of the guards here if you want to learn some new skills. Good luck on your journey."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01b.json,start.title.text,The Basic Skill
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01b.json,start.description.text,Ah... I don't think you'll be able to find the eyes in your current conditions. Come back to me once you've killed $(red)10 pillagers$(). I'll give you something to prepare you for your journey.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01c.json,start.title.text,Finding Pillagers
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01c.json,start.description.text,Thought you were an adventurer... Fine. Fetch me a piece of paper. I'll show you the whereabouts of the closest pillager camp we know of.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01c.json,complete.title.text,Map Fetched
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_01c.json,complete.description.text,Here you go. You may find pillagers somewhere closer though. Those buggers are infested everywhere.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_02.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_02.json,start.description.text,"Good, seems like you're ready for an adventure! Ready to find your first eye?"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_03.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_03.json,start.description.text,See the map I gave you? Your first assignment is to exterminate the $(red)Goblin King$(). They can be found on top of their castles.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_03.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_03.json,complete.description.text,"Good job. Seems you're ready to take on the $(red)Corrupted Ogre$(). Here, the creature dwelling in the marked spot is holding one of the eyes."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_04.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_04.json,start.description.text,The Ogre is on a different level compared to the goblin king. Proceed with caution.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_04.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_04.json,complete.description.text,"Well done. Perhaps you'll be able to face $(red)Knight Rober$() now. He is much weaker than who he once was, but I'd assume that he's still very dangerous, as he is still able to contain the power of the eye he's holding. Here's the map to his current whereabouts."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_05.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_05.json,start.description.text,"We have very little information on Knight Rober in his current state, but he should be quite weakened since the last war... Oh, remember to bring ender pearls. He has a nasty attack that can only be escaped via teleportation."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_05.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_05.json,complete.description.text,"Wow, you've defeated Knight Rober huh. Was he tough? Back in the day he was one of the scariest opponent you could face in a duel, guess his age caught up to him finally. Well, the next eye-holder is another human. He's currently living peacefully in his farmhouse... Here's the map to his location."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_06.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_06.json,start.description.text,"Hm... the Nine Tails is not exactly a human. Oh well, you'll know when you see him."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_06.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_06.json,complete.description.text,"Hmmph... At this point I'm not even surprised. Good job. The Nine Tails was a notoriously violent spirit... I have no idea why it decided to retire at an abandoned barn. Anyhow, here's the whereabouts of the next eye holder. Beware, this is nothing like the ones you've faced before."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_07.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_07.json,start.description.text,"The next eye holder is an undead. An undead with many tricks up its sleeves to be precise... It's surrounded by its followers, so you might have trouble getting to him."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_07.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_07.json,complete.description.text,"The Skeleton Lord is probably the most powerful undead I've ever seen. I'm surprised you're able to take him down. Alright, let's see... The next eye is guarded by a renowned Holy Knight. I'm not sure if it's possible for even you. Anyhow, I'll give you its location. Proceed with caution."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_08.json,start.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_08.json,start.description.text,The Sentinel Knight protected the Guardian Eye for centuries. None of the adventurers I know ever got past him... I heard that he's holding the key that frees the eye from its dormant state.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_08.json,complete.title.text,Road to the Eye Holders
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_08.json,complete.description.text,"Amazing. Even the Sentinel Knight is no match for you... Well, you're approaching the end of your journey. How do you feel? ... Anyway, you'll need to summon the next eye holder. Here, take this knot of hair and the map to its summoning altar."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_09.json,start.title.text,The End of the Road
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_09.json,start.description.text,"The fire giant had disappeared from our realm many moons ago. We were able to extract a knot of his hair before he left. The great clerics enchanted magic into the item, which should theoretically allow you to summon the giant should you offer the item at the altar. If you ever lose the hair knot, combine a fire charge with a basic fire resistance potion in a brewing stand to re-summon the item."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_09.json,complete.title.text,The End of the Road
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_09.json,complete.description.text,"Well, I'm speechless... This is it adventurer. You have defeated all the eyeholders. If you have acquired 12 eyes already, look for the gateway into the End. God spede you."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_10.json,start.title.text,The End of the Road
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_10.json,start.description.text,I have no more information to give you my friend. Follow your calling.
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_10.json,complete.title.text,The End... is just the Beginning??
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_10.json,complete.description.text,"So... you have defeated the dragon. I suppose that would make you the new ruler of the realm. Congratulations, brave conqueror. You have done... everything you could. Now, if you would excuse me."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_11.json,start.title.text,The End... is just the Beginning??
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_11.json,start.description.text,...
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_12.json,start.title.text,The End... is just the Beginning??
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_12.json,start.description.text,"If you must know... The deity who corrupted the ender dragon... He's still very much alive. But that being is simply too powerful, even for you. The map to reach him is held by the ender guardian. As for the whereabouts of the ender guardian... Our enderians may have a clue. I do not advise you to pursue this. You've done more than enough."
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_12.json,complete.title.text,The True Ending
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\quest_0014_12.json,complete.description.text,"I.... I'm sorry I doubted you. You are, truly, one of a kind.                                      - End of Main Quest -"
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\root.json,start.title.text,Hey!
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\root.json,start.description.text,Welcome! Seems this is your first time visiting the guild. Would you like to take on your first quest?
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\structures.json,start.title.text,The Unattended Eyes
c:\Users\stoyk\OneDrive\Desktop\Переклад\data\quest_giver\quests\quest_0014\structures.json,start.description.text,"To the best of my knowledge, there are currently 7 eyes that are unattended by eye holders. The ones that can be found in structures include the Cursed and the Old. As for the others... I think most of them can be crafted with the life forces in our realm, while a few of them may have been stolen by sentient beasts. The locals around may know more about that than I do. However, I do know that the clerics are currently in possession of the Evil Eye."
